Rainfall,Temperature,Humidity,Soil_Moisture,Previous_Groundwater_Level,Water_Consumption,Groundwater_Recharge,Groundwater_Level
464.85,20.53,25.55,74.25,29.26,733.98,40.13,22.39
404.06,41.82,27.19,45.86,20.57,542.9,123.01,16.42
316.7,34.63,68.07,25.23,13.43,184.82,149.34,12.64
435.73,19.56,47.28,57.68,9.85,254.52,11.49,15.89
401.84,28.21,93.38,54.42,22.47,192.28,70.96,21.63
93.29,33.46,52.53,79.18,8.78,651.33,120.31,11.57
446.28,17.5,31.46,24.88,6.81,184.79,118.34,12.66
269.67,41.47,77.18,55.4,16.84,778.85,114.0,14.9
403.72,39.11,43.47,8.9,10.12,118.46,52.35,9.84
448.05,30.16,62.04,13.52,19.61,324.44,68.08,14.45
159.0,44.01,75.83,5.29,5.3,901.6,89.25,3.5
55.03,27.53,92.02,79.96,20.34,746.68,146.09,16.22
113.97,44.52,83.38,65.17,9.93,165.67,49.13,8.05
213.55,35.04,74.11,64.0,2.01,839.01,138.47,9.07
409.01,34.04,74.37,43.23,5.55,543.73,40.4,10.07
430.37,19.98,95.67,27.51,28.14,862.1,148.36,20.6
3.48,41.46,43.67,16.34,26.29,640.67,100.54,10.26
255.37,27.82,20.09,26.35,8.54,713.65,69.53,8.58
208.71,19.87,41.76,33.2,23.79,994.15,92.01,12.39
111.05,15.38,37.43,61.72,19.04,309.1,40.88,13.11
59.93,31.79,72.95,45.47,29.19,661.55,41.13,8.11
168.81,30.82,70.7,10.81,12.46,514.29,17.03,4.3
471.45,36.58,67.48,6.35,21.08,135.51,17.11,14.19
161.6,41.71,21.3,12.67,3.78,113.02,52.15,3.84
259.4,17.38,78.3,35.79,13.09,207.31,114.43,13.66
351.51,36.94,45.88,74.99,28.99,684.18,91.2,19.23
181.81,20.62,73.2,52.81,17.09,610.45,15.39,11.28
485.89,40.75,64.53,65.14,10.06,598.09,127.84,17.36
481.22,39.57,47.42,39.98,5.37,128.67,90.21,14.4
125.89,31.22,30.77,32.12,21.7,522.37,144.13,12.1
248.62,36.31,27.55,13.13,20.06,932.16,100.53,10.08
150.44,24.43,86.52,70.69,12.47,457.83,26.28,9.94
142.42,29.14,93.47,63.74,28.63,662.43,71.07,15.65
18.44,39.65,71.98,17.61,2.62,801.84,97.27,2.0
304.78,28.78,28.27,43.42,10.5,805.53,4.24,6.82
251.34,25.73,52.16,41.55,27.79,567.35,2.24,14.37
25.74,29.83,78.32,51.88,10.99,872.16,19.41,2.0
139.32,39.85,82.39,75.96,9.06,452.24,37.75,11.18
454.13,25.06,29.46,48.48,16.96,899.82,64.43,14.93
119.78,20.21,20.0,45.52,25.07,316.2,73.12,14.81
72.45,36.36,76.97,8.77,4.89,352.19,20.7,2.19
244.73,39.78,48.53,9.72,28.4,147.81,101.01,14.11
492.83,18.02,40.36,19.05,24.26,816.02,89.42,16.02
121.03,22.2,21.03,7.44,7.08,475.35,44.17,3.5
336.07,19.26,63.22,60.75,21.94,306.2,2.05,17.11
380.81,25.44,88.09,59.25,12.78,308.61,11.65,12.83
118.82,28.51,96.61,15.2,13.26,911.26,58.75,5.46
364.11,37.46,65.26,67.71,23.93,850.52,23.1,14.2
183.89,34.53,61.16,16.61,28.96,598.18,56.52,12.95
316.15,33.63,26.8,27.59,5.55,654.5,94.23,10.37
316.76,25.57,63.91,23.67,13.78,526.89,82.09,12.56
267.89,40.24,50.4,32.92,15.47,452.5,34.68,9.53
45.14,29.14,68.57,24.1,12.54,923.93,51.57,4.71
417.65,44.37,51.1,41.67,12.17,213.05,92.1,15.16
160.39,34.02,39.22,35.56,3.46,476.6,129.13,8.63
93.26,18.79,27.6,78.99,21.2,410.11,112.98,18.41
20.39,35.29,45.19,9.19,14.21,548.34,83.01,6.7
295.45,24.75,27.73,15.66,7.45,511.87,54.34,7.03
338.78,35.59,34.15,8.96,24.85,567.0,54.76,13.41
8.29,17.09,98.99,51.94,24.47,225.93,131.91,15.9
256.05,20.25,55.53,9.09,15.62,561.83,5.89,5.9
113.25,40.67,62.55,67.73,10.36,318.18,148.2,13.04
322.59,21.82,89.89,43.4,19.87,265.9,99.66,17.0
87.18,40.11,99.65,44.53,10.07,158.35,102.17,7.85
345.47,23.38,66.62,47.12,8.61,786.39,5.7,8.91
193.37,34.29,85.0,17.81,22.45,484.7,90.83,8.84
468.36,35.82,46.16,19.83,3.13,663.98,72.72,11.43
68.76,30.38,44.46,28.91,4.65,754.83,15.87,2.87
170.53,24.16,52.22,49.51,2.19,711.38,41.69,4.59
56.74,21.38,73.8,20.76,6.28,523.45,133.55,6.9
462.35,16.0,74.58,13.72,3.93,449.11,82.5,10.48
438.67,24.12,45.22,77.76,29.88,438.36,62.01,22.07
128.97,34.59,30.66,6.65,10.09,676.04,10.9,2.23
329.99,43.15,70.59,65.2,6.18,545.31,107.12,12.1
408.61,41.14,30.27,64.1,8.75,864.22,105.43,12.91
277.6,37.98,66.28,27.29,28.21,887.23,92.11,14.68
264.83,38.65,75.47,15.17,16.56,253.5,76.54,9.52
120.93,34.95,76.05,15.92,12.21,222.61,65.07,7.38
46.55,22.81,80.28,57.31,26.45,667.36,88.99,14.49
448.61,42.22,89.83,53.21,13.06,371.1,35.01,13.52
450.21,35.12,60.0,63.71,11.38,116.71,141.19,19.0
316.55,31.81,78.42,75.31,7.8,899.78,88.32,13.21
169.51,18.33,69.53,56.89,12.58,304.21,46.68,10.81
174.6,28.41,34.93,16.69,10.87,936.35,67.45,5.56
362.98,28.81,22.06,23.26,20.96,745.69,120.85,16.61
448.56,40.94,42.76,68.16,10.11,786.39,24.24,11.4
443.54,31.4,55.44,20.7,18.16,281.32,43.93,13.98
389.94,26.41,69.37,10.44,3.84,310.77,101.93,9.43
321.02,44.3,88.0,57.75,7.36,569.14,47.32,10.9
42.07,18.32,35.7,35.19,13.41,254.89,118.88,10.65
80.81,27.68,30.04,74.0,28.23,374.89,19.57,16.45
449.28,16.26,97.08,53.77,12.56,389.32,114.4,17.52
303.21,37.2,28.64,11.78,20.59,243.67,10.25,9.24
4.6,42.54,58.28,76.09,9.14,284.66,1.89,6.98
50.74,23.4,66.85,24.39,5.56,809.7,134.73,5.27
331.75,40.75,63.31,30.29,3.64,250.48,87.2,9.87
2.53,23.77,26.88,35.17,10.55,125.61,52.77,3.69
80.4,42.32,24.56,8.84,6.41,666.42,34.89,2.0
274.37,37.62,28.44,42.24,6.87,978.38,92.53,7.26
345.95,39.15,66.85,14.25,23.3,398.09,76.35,12.71
325.98,15.54,63.55,35.07,2.44,206.79,148.74,12.23
112.13,43.88,38.7,31.3,17.62,613.35,147.48,10.92
356.09,36.8,71.02,62.96,12.62,915.72,95.25,13.05
118.62,24.14,85.61,65.24,16.18,805.66,66.43,9.25
162.7,39.88,23.33,16.51,17.76,660.26,73.67,8.67
373.25,23.45,59.85,32.49,10.77,383.55,102.37,15.0
324.82,41.18,75.14,33.0,10.26,587.69,15.24,7.64
424.61,18.38,40.18,16.36,22.54,182.12,49.25,16.86
328.81,36.11,44.62,64.88,26.4,711.05,11.29,16.48
284.15,31.22,69.09,58.04,7.39,752.59,11.0,8.85
46.84,17.9,91.83,19.28,4.73,968.53,29.38,2.55
183.86,22.26,84.79,32.5,27.14,334.36,72.79,14.72
132.6,15.37,66.65,12.94,11.8,116.61,117.72,9.76
121.99,29.06,78.42,52.12,17.44,591.05,72.82,12.14
486.51,24.04,49.19,14.1,12.07,736.11,50.32,11.37
196.55,32.95,71.28,78.95,5.52,811.37,12.35,7.73
446.02,23.92,57.29,63.55,18.5,274.37,82.54,21.53
315.57,24.0,35.19,34.27,16.7,335.58,40.69,12.42
397.41,37.3,76.14,48.39,7.68,561.33,92.24,12.61
251.32,16.44,64.52,73.35,14.65,397.54,146.58,17.04
288.45,42.09,48.69,46.56,24.31,874.46,16.7,14.19
246.26,40.57,92.91,18.09,18.53,526.38,31.82,8.36
97.62,35.03,21.67,33.4,4.71,819.62,70.96,3.22
361.23,32.8,45.26,68.24,17.34,622.56,145.29,18.21
140.39,41.77,24.55,53.32,21.68,795.78,115.77,12.54
12.16,20.56,81.32,53.8,24.2,399.41,134.73,14.84
322.74,17.37,76.17,70.01,19.62,848.27,50.06,14.42
88.56,22.19,46.51,72.05,6.27,347.12,148.81,11.1
470.23,38.84,74.05,73.98,21.88,591.49,15.42,16.0
476.96,16.04,51.67,12.11,20.97,292.61,7.95,16.15
457.43,32.48,80.5,45.81,2.68,527.97,128.34,13.75
185.08,44.86,56.33,60.54,13.53,386.36,139.09,15.24
7.73,40.67,52.98,61.77,11.32,340.03,13.59,7.58
464.16,30.64,94.78,50.5,20.74,970.29,17.01,15.73
214.09,16.91,40.07,17.51,8.05,244.07,4.98,3.68
483.33,39.94,29.64,64.81,18.54,808.59,15.68,12.84
481.81,32.97,66.76,59.01,27.57,985.75,31.41,16.3
426.5,18.45,97.55,11.46,24.34,117.91,145.51,19.7
147.22,17.82,50.23,39.79,27.8,729.12,100.18,14.96
192.55,42.29,24.96,18.05,29.4,327.62,116.78,15.33
425.57,35.08,47.14,30.31,2.3,136.44,116.42,12.23
158.46,39.88,60.47,6.36,19.44,462.6,80.26,9.1
84.75,41.37,32.95,35.02,13.56,941.7,119.62,6.9
278.4,32.15,72.65,46.24,26.08,110.59,89.37,15.92
468.08,30.52,99.82,51.47,9.05,629.1,47.18,10.96
348.01,27.91,56.14,54.76,29.47,551.26,84.17,19.02
285.03,24.51,48.38,67.72,19.18,886.05,80.03,14.54
48.59,28.04,52.06,21.16,24.22,175.6,123.52,12.38
307.5,38.22,29.21,14.04,4.4,713.37,147.26,7.81
495.03,33.06,90.66,68.87,7.14,712.1,61.66,12.04
70.04,41.78,53.19,16.75,23.24,702.17,114.51,10.05
259.16,28.3,50.98,78.11,2.62,948.1,14.96,5.15
438.69,33.21,72.78,68.19,24.87,840.78,116.52,19.36
370.38,33.94,55.36,42.57,2.39,137.78,55.71,8.21
348.51,32.75,71.86,78.61,20.4,523.97,5.91,14.97
351.24,36.08,24.92,12.3,12.22,458.16,54.49,8.03
179.75,22.12,85.1,27.73,19.12,379.13,91.6,13.74
146.8,30.37,95.24,52.87,21.49,506.2,17.89,11.61
404.68,18.13,71.9,31.25,11.59,445.77,138.61,15.4
405.06,26.54,96.37,74.63,5.02,489.1,11.65,10.03
433.54,29.63,32.11,9.92,3.95,981.34,139.5,9.31
456.62,34.57,58.19,46.21,18.49,179.77,106.07,19.64
255.67,43.52,68.14,49.31,16.58,930.01,49.46,9.84
250.76,33.02,66.54,53.95,22.78,532.21,58.61,16.54
399.15,37.31,52.12,24.17,16.27,661.37,111.12,14.1
324.98,30.19,47.05,32.34,13.83,847.16,90.22,12.11
350.98,34.02,30.15,68.28,13.15,424.42,100.75,16.12
397.9,17.13,51.34,19.62,2.74,487.38,58.37,8.84
445.0,22.63,33.01,67.02,11.4,468.57,73.17,14.99
169.0,25.86,78.75,47.2,29.33,437.26,148.48,18.92
187.79,29.17,36.71,62.16,26.46,932.98,32.09,13.56
46.99,16.37,24.69,58.52,11.22,846.04,62.68,8.03
289.14,19.2,64.19,20.56,18.46,198.1,43.77,13.05
17.97,23.3,67.62,47.66,25.72,197.31,114.77,17.04
232.8,44.15,89.75,70.08,14.36,485.08,114.6,12.85
271.32,24.94,66.16,37.41,2.5,188.79,43.87,6.52
143.27,29.46,47.64,77.49,4.09,657.18,12.21,6.44
295.42,20.88,84.24,38.92,16.29,229.32,1.71,10.48
15.25,33.32,63.22,15.71,29.14,570.14,64.12,14.36
18.67,23.42,26.34,34.21,21.41,106.5,61.55,11.99
411.3,21.21,65.27,76.38,3.99,384.94,148.26,16.91
180.1,30.5,92.64,28.98,7.3,709.47,70.47,5.41
63.53,15.17,51.71,70.11,23.6,535.64,38.46,12.88
261.12,15.23,43.71,71.09,25.56,980.44,133.68,19.25
385.0,21.57,31.48,31.26,19.3,886.69,73.66,13.48
107.91,16.1,32.12,11.24,20.04,423.16,89.88,10.08
311.45,18.24,54.62,59.34,2.79,140.94,14.35,9.17
42.67,25.17,67.65,28.36,25.2,861.06,57.44,10.94
25.84,39.08,26.45,63.72,24.07,920.11,141.63,15.6
265.68,32.16,95.17,38.2,9.25,838.56,88.43,9.16
270.32,30.38,80.41,41.4,21.84,215.15,51.68,13.09
318.71,23.8,66.93,63.34,8.02,998.12,93.85,11.87
363.05,42.95,86.28,33.68,3.13,332.73,136.56,13.08
487.93,26.91,26.41,38.23,7.63,751.78,41.1,11.98
258.15,17.61,58.15,33.21,7.0,917.23,75.77,8.34
161.48,33.51,70.41,32.55,11.46,312.12,143.8,13.57
397.59,18.42,86.29,44.45,13.72,917.43,25.86,10.83
135.42,25.36,82.68,65.66,16.24,378.53,107.95,15.26
219.49,30.22,42.17,32.13,15.35,978.77,92.17,8.68
39.23,41.23,95.27,44.32,9.58,353.13,101.95,8.44
12.68,29.81,29.95,55.3,2.82,958.09,52.68,3.98
481.32,36.07,90.01,25.21,18.94,148.19,47.08,14.65
417.99,44.78,97.68,25.81,13.08,738.34,102.63,10.79
347.99,18.94,34.17,75.01,10.36,578.9,32.33,12.99
204.48,23.24,77.77,59.27,26.27,530.09,62.95,15.97
86.65,26.84,23.22,48.29,22.91,301.14,28.23,12.54
78.22,27.65,52.43,53.58,26.02,735.04,1.25,9.75
125.12,27.33,61.3,7.2,15.86,271.73,145.51,13.43
274.61,42.23,66.45,51.36,5.67,597.56,64.76,6.75
357.3,36.42,94.87,43.21,21.49,327.92,145.4,20.53
330.1,33.24,73.78,45.93,7.77,960.06,21.05,5.77
139.97,24.28,58.5,31.96,14.35,125.77,88.11,9.33
477.43,39.71,84.77,11.11,3.82,279.76,30.15,7.77
368.95,43.65,96.04,19.5,25.11,318.08,118.51,16.86
277.18,39.64,21.77,76.31,5.53,472.66,117.56,11.69
305.86,15.05,98.6,35.65,27.29,309.46,16.89,13.66
209.8,34.09,26.89,40.0,26.2,542.21,136.81,17.11
123.87,16.53,85.15,8.95,15.01,885.22,29.19,5.8
177.99,22.73,42.43,7.82,22.84,740.86,91.95,11.57
378.92,16.79,30.57,58.79,19.34,621.97,147.85,19.81
7.2,33.11,55.19,45.36,24.49,180.1,132.36,15.8
58.04,35.6,71.52,43.15,14.09,724.59,143.48,10.28
23.0,18.43,50.48,23.23,24.0,249.77,51.39,9.02
20.36,26.52,24.37,60.86,14.95,807.73,15.84,4.78
427.73,28.69,67.96,17.62,28.35,325.05,28.25,15.9
351.83,26.07,92.19,19.25,15.62,475.34,75.07,11.89
237.09,18.63,50.66,39.55,14.95,415.42,118.98,15.14
48.92,27.57,37.31,26.47,23.98,872.93,22.52,8.18
245.81,37.54,55.41,23.56,25.0,213.89,98.96,16.28
236.74,17.13,23.87,53.39,17.53,609.08,48.54,12.27
86.6,17.41,85.64,53.82,7.03,227.86,51.18,6.68
216.93,25.64,86.11,66.84,15.1,734.32,99.29,14.13
199.25,43.25,67.04,36.33,29.11,914.57,70.05,13.69
307.93,35.06,48.25,10.48,23.08,491.15,121.8,11.83
317.55,35.36,83.98,25.52,24.71,539.28,23.39,11.46
22.65,25.86,64.37,78.5,2.92,934.68,118.49,6.52
187.31,32.81,86.07,49.72,15.1,568.89,9.64,8.68
312.93,15.3,70.52,58.23,20.11,538.84,29.11,13.67
251.57,34.08,82.75,5.55,25.24,620.5,98.42,12.76
428.24,42.4,67.89,43.87,3.38,720.31,128.24,10.99
329.35,33.38,53.13,7.81,25.87,196.2,37.9,13.49
81.47,41.21,96.64,47.69,17.36,839.0,49.08,6.8
35.28,36.72,63.29,74.06,7.52,491.95,80.57,7.74
321.21,18.62,68.41,77.63,10.88,165.11,31.74,13.22
13.26,42.07,37.64,45.54,9.89,807.56,121.67,7.29
292.89,16.99,70.05,39.37,16.86,439.25,116.05,16.17
470.12,31.02,65.73,75.88,3.45,190.33,21.79,11.96
287.74,19.26,34.79,55.52,6.44,670.4,69.57,11.97
194.08,15.35,24.77,9.87,24.76,892.12,116.22,12.3
321.64,27.66,68.35,39.93,5.71,898.98,50.6,8.9
229.13,23.85,81.1,23.02,8.54,961.9,94.97,6.25
272.81,29.58,61.87,40.24,14.69,880.93,7.53,5.32
470.73,32.32,38.14,39.16,16.48,101.93,91.3,18.07
193.05,16.31,73.32,48.66,23.38,442.22,22.9,13.6
480.6,18.69,26.41,31.76,14.53,836.69,124.59,15.58
452.68,31.76,55.35,17.32,24.12,429.63,53.32,14.67
97.9,25.3,33.07,42.78,19.31,641.39,42.23,9.47
34.68,36.88,34.76,67.27,5.17,645.69,126.13,7.72
50.39,34.57,36.18,54.8,6.38,428.52,7.52,3.87
9.11,40.37,50.94,30.38,14.24,914.03,59.49,5.26
47.22,35.77,24.09,75.16,13.11,552.91,55.5,9.75
341.5,27.9,51.82,73.42,22.82,518.31,42.72,17.96
35.59,35.19,60.94,20.7,18.26,997.76,136.76,8.02
159.49,23.26,58.66,7.96,12.87,544.15,112.64,8.29
422.44,24.19,50.62,60.6,6.78,260.56,9.59,10.31
11.64,38.67,87.13,67.07,8.35,561.76,107.2,8.13
407.23,28.39,31.63,77.59,18.11,832.62,79.09,13.08
140.93,38.95,60.46,71.74,13.86,799.17,135.13,12.26
59.08,39.67,24.96,50.04,16.42,809.72,46.94,7.19
348.37,40.73,25.69,44.75,6.78,737.22,86.12,10.31
314.47,42.5,65.91,7.09,20.56,328.8,75.11,11.72
438.74,27.93,65.28,23.5,25.87,875.88,73.43,15.97
367.54,24.57,90.24,39.47,9.22,904.1,68.42,7.17
401.74,32.47,64.63,52.14,15.76,274.74,30.84,14.16
141.02,26.14,96.78,46.79,29.31,217.41,113.36,16.46
88.72,33.03,23.9,60.7,11.33,978.04,67.7,5.85
375.31,36.17,27.84,25.98,18.66,881.49,143.78,14.43
403.42,35.65,23.53,47.37,4.53,903.91,39.12,9.12
495.25,26.24,34.82,11.61,18.97,897.74,102.41,14.64
206.31,20.01,63.3,36.02,4.51,587.52,141.11,9.87
186.01,27.92,71.65,61.26,28.86,681.76,99.52,17.63
388.21,19.28,23.65,57.01,22.04,590.83,130.69,19.14
170.4,41.7,95.68,79.3,24.07,146.09,124.12,18.97
465.38,25.38,87.37,25.84,21.71,770.95,54.02,14.97
429.21,19.63,43.73,42.36,18.51,554.8,90.02,15.04
214.5,15.76,26.18,29.71,14.6,682.94,23.44,8.83
375.44,34.37,33.59,38.05,26.03,552.38,80.33,16.61
377.27,34.11,30.16,69.27,28.79,542.63,34.56,19.78
51.56,25.22,29.86,56.32,15.97,254.61,111.56,14.21
451.28,17.15,61.48,71.18,28.08,350.84,79.21,21.19
252.63,27.29,39.67,20.26,18.33,242.97,61.68,11.26
413.23,24.34,48.65,70.5,17.07,276.1,40.32,16.08
160.02,35.31,99.16,9.48,14.73,975.68,149.8,6.46
447.76,33.17,74.75,71.64,7.86,237.8,10.76,11.78
194.6,25.94,95.92,29.68,2.1,342.34,6.53,6.55
5.42,21.54,31.4,28.59,8.76,631.53,32.59,3.87
452.69,44.64,50.57,43.41,16.27,649.16,145.66,19.26
45.64,28.62,64.38,75.55,12.64,238.58,146.89,15.64
159.66,35.65,26.14,8.58,14.56,814.35,98.24,6.18
475.03,19.22,20.33,31.42,29.46,806.68,132.02,20.58
475.3,29.57,73.63,69.24,11.81,313.59,32.09,16.06
286.72,15.83,71.35,34.7,14.66,359.8,145.81,16.34
315.92,30.16,52.86,19.94,5.74,944.19,21.42,3.22
224.22,43.92,59.17,36.86,3.34,843.1,15.17,2.0
146.61,26.53,53.24,33.92,23.71,728.02,16.83,13.59
164.33,16.17,21.92,73.66,17.98,174.01,85.97,16.42
336.26,15.93,46.83,62.15,23.3,476.44,117.15,19.76
376.19,26.64,34.17,42.88,6.2,603.37,55.0,9.83
395.79,19.8,27.87,79.13,18.01,268.67,146.68,22.08
394.81,15.7,96.54,39.9,9.1,503.4,65.16,12.25
45.6,37.69,67.95,9.37,8.39,640.92,22.57,2.37
247.21,28.76,78.29,24.67,2.32,394.64,69.9,6.12
28.78,23.68,45.23,37.71,5.65,802.85,101.86,3.71
274.76,42.0,51.45,16.77,10.66,856.4,124.83,8.47
220.77,18.48,38.95,76.07,5.27,391.25,68.82,10.95
443.85,43.68,27.76,62.51,29.6,854.79,89.04,21.69
175.46,24.42,34.32,25.12,10.64,193.22,40.1,9.38
58.53,41.65,83.8,49.31,5.65,853.96,96.89,5.31
71.5,33.09,74.2,59.11,7.57,237.48,147.9,10.23
380.76,39.8,63.75,75.6,18.46,174.63,7.36,14.35
309.11,44.52,58.01,71.12,3.79,677.6,132.98,12.05
